"fips" "mkt" "statefp"
"01001" 304 "01"
"01003" 181 "01"
"01005" 11 "01"
"01007" 240 "01"
"01009" 191 "01"
"01011" 304 "01"
"01013" 304 "01"
"01015" 141 "01"
"01017" 160 "01"
"01019" 244 "01"
"01021" 306 "01"
"01023" 250 "01"
"01025" 181 "01"
"01027" 191 "01"
"01029" 60 "01"
"01031" 11 "01"
"01033" 127 "01"
"01035" 307 "01"
"01037" 191 "01"
"01039" 308 "01"
"01041" 304 "01"
"01043" 309 "01"
"01045" 11 "01"
"01047" 310 "01"
"01049" 141 "01"
"01051" 304 "01"
"01053" 311 "01"
"01055" 141 "01"
"01057" 240 "01"
"01059" 127 "01"
"01061" 11 "01"
"01063" 240 "01"
"01065" 240 "01"
"01067" 11 "01"
"01069" 11 "01"
"01071" 231 "01"
"01073" 191 "01"
"01075" 143 "01"
"01077" 127 "01"
"01079" 231 "01"
"01081" 160 "01"
"01083" 231 "01"
"01085" 304 "01"
"01087" 160 "01"
"01089" 231 "01"
"01091" 240 "01"
"01093" 143 "01"
"01095" 231 "01"
"01097" 181 "01"
"01099" 181 "01"
"01101" 304 "01"
"01103" 231 "01"
"01105" 240 "01"
"01107" 240 "01"
"01109" 304 "01"
"01111" 60 "01"
"01113" 286 "01"
"01115" 191 "01"
"01117" 191 "01"
"01119" 250 "01"
"01121" 191 "01"
"01123" 160 "01"
"01125" 240 "01"
"01127" 312 "01"
"01129" 181 "01"
"01131" 181 "01"
"01133" 127 "01"
"02013" 73 "02"
"02020" 73 "02"
"02050" 73 "02"
"02060" 73 "02"
"02068" 200 "02"
"02070" 73 "02"
"02090" 200 "02"
"02100" 73 "02"
"02105" 73 "02"
"02110" 73 "02"
"02122" 73 "02"
"02130" 313 "02"
"02150" 73 "02"
"02164" 73 "02"
"02170" 73 "02"
"02180" 73 "02"
"02185" 73 "02"
"02188" 73 "02"
"02195" 314 "02"
"02198" 73 "02"
"02220" 315 "02"
"02230" 73 "02"
"02240" 73 "02"
"02261" 73 "02"
"02275" 73 "02"
"02282" 73 "02"
"02290" 73 "02"
"04001" 100 "04"
"04003" 123 "04"
"04005" 100 "04"
"04007" 316 "04"
"04009" 123 "04"
"04011" 123 "04"
"04012" 317 "04"
"04013" 318 "04"
"04015" 319 "04"
"04017" 100 "04"
"04019" 123 "04"
"04021" 320 "04"
"04023" 123 "04"
"04025" 321 "04"
"04027" 322 "04"
"05001" 45 "05"
"05003" 323 "05"
"05005" 110 "05"
"05007" 219 "05"
